Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,SEASON
DeMar DeRozan,SF,34,CHI,29,29,36.5,7.7,17.0,0.455,0.9,2.6,0.355,6.8,14.3,0.474,0.483,5.9,7.1,0.83,0.7,3.0,3.8,5.4,1.1,0.8,1.4,2.2,22.3,23-24
Moussa Diabaté,C,22,LAC,9,0,6.1,1.0,2.0,0.5,0.0,0.0,,1.0,2.0,0.5,0.5,1.0,1.3,0.75,1.6,0.6,2.1,0.4,0.4,0.0,0.2,0.4,3.0,23-24
Gradey Dick,SG,20,TOR,18,1,12.8,1.1,3.7,0.284,0.6,2.4,0.25,0.4,1.3,0.348,0.366,0.8,0.8,1.0,0.4,0.8,1.2,0.8,0.3,0.0,0.7,1.3,3.5,23-24
Ousmane Dieng,PF,20,OKC,18,0,11.2,1.5,3.3,0.458,0.8,2.2,0.35,0.7,1.1,0.684,0.576,0.6,0.7,0.833,0.4,1.2,1.6,0.9,0.1,0.0,0.3,0.7,4.3,23-24
Spencer Dinwiddie,PG,30,BRK,28,28,31.8,4.8,11.7,0.405,2.1,6.4,0.328,2.6,5.3,0.5,0.495,2.8,3.6,0.775,0.6,3.4,4.0,6.6,0.9,0.2,1.7,1.6,14.4,23-24
Donte DiVincenzo,SG,27,NYK,29,11,20.7,3.3,7.3,0.45,2.3,5.3,0.442,0.9,2.0,0.474,0.611,0.7,1.0,0.724,0.7,2.2,2.9,1.9,1.0,0.3,1.0,1.8,9.6,23-24
Luka Dončić,PG,24,DAL,28,28,37.1,11.4,23.4,0.489,4.0,10.4,0.387,7.4,12.9,0.572,0.576,6.6,8.5,0.785,0.9,7.6,8.5,9.4,1.4,0.6,4.0,1.8,33.5,23-24
Luguentz Dort,SF,24,OKC,26,26,28.2,3.6,8.0,0.454,1.8,4.3,0.407,1.8,3.6,0.511,0.565,2.0,2.4,0.825,1.3,2.7,4.0,1.3,0.8,0.8,0.9,2.9,11.0,23-24
Ayo Dosunmu,SG,24,CHI,29,5,21.0,2.8,5.8,0.485,1.0,2.7,0.354,1.8,3.0,0.602,0.569,0.7,0.9,0.731,0.6,1.6,2.1,1.8,0.8,0.2,0.9,1.8,7.2,23-24
Andre Drummond,C,30,CHI,31,0,13.5,2.4,4.7,0.514,0.0,0.0,0.0,2.4,4.7,0.517,0.514,1.4,2.3,0.606,2.8,4.0,6.8,0.5,1.1,0.4,1.0,1.6,6.2,23-24
Chris Duarte,SF,26,SAC,25,5,12.2,1.2,3.4,0.353,0.6,2.0,0.294,0.6,1.4,0.441,0.441,0.6,0.7,0.778,0.2,1.5,1.7,0.7,0.6,0.1,0.5,2.0,3.6,23-24
Kris Dunn,PG,29,UTA,22,4,15.8,2.2,4.8,0.467,0.5,1.5,0.375,1.7,3.3,0.507,0.524,0.4,0.6,0.643,0.5,2.1,2.7,3.5,0.6,0.2,1.3,1.6,5.4,23-24
Kevin Durant,PF,35,PHO,25,25,36.8,10.4,20.2,0.518,2.1,4.5,0.469,8.3,15.6,0.532,0.57,7.3,8.3,0.875,0.4,5.8,6.2,5.5,0.8,1.1,3.6,1.8,30.3,23-24
