Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,SEASON
Nate Hinton,SG,24,HOU,5,0,5.2,0.8,1.8,0.444,0.8,1,0.8,0,0.8,0,0.667,0,0,,0.4,0.6,1,0.2,0,0,0.2,1,2.4,23-24
D'Moi Hodge,SG,25,LAL,7,0,5.9,0.7,2.1,0.333,0.4,1.7,0.25,0.3,0.4,0.667,0.433,0.1,0.3,0.5,0,0,0,0.7,0.1,0.1,0.1,0.6,2,23-24
Aaron Holiday,PG,27,HOU,41,1,17.1,2.3,5.3,0.444,1.2,2.9,0.403,1.2,2.4,0.495,0.556,0.8,0.8,0.912,0.2,1.6,1.9,1.6,0.6,0.1,0.7,1.5,6.6,23-24
Jrue Holiday,PG,33,BOS,40,40,33.8,5,11,0.456,2.1,4.9,0.418,3,6.1,0.486,0.549,1.2,1.4,0.821,1.5,4.8,6.2,4.6,0.8,0.8,1.9,1.7,13.2,23-24
Justin Holiday,SG,34,DEN,25,6,13,1.3,2.7,0.493,0.8,1.9,0.447,0.5,0.8,0.6,0.649,0,0,,0.2,1,1.2,1,0.6,0,0.2,1.1,3.5,23-24
Richaun Holmes,C,30,DAL,18,1,9.8,1.4,2.7,0.521,0,0,,1.4,2.7,0.521,0.521,0.5,1,0.5,1.6,1.9,3.5,0.5,0.1,0.3,0.6,1.2,3.3,23-24
Chet Holmgren,C,21,OKC,44,44,30.2,6.4,11.9,0.541,1.6,4.1,0.385,4.8,7.8,0.625,0.608,2.6,3.4,0.779,1.5,5.8,7.3,2.8,0.6,2.6,1.7,2.7,17.1,23-24
Jalen Hood-Schifino,SG,20,LAL,12,0,7.1,0.7,2.8,0.242,0.1,0.8,0.111,0.6,2,0.292,0.258,0.6,1,0.583,0.2,0.7,0.8,0.6,0.3,0.1,0.7,0.8,2,23-24
Al Horford,C,37,BOS,36,17,27.2,2.9,6,0.491,1.6,3.9,0.415,1.3,2.1,0.635,0.627,0.3,0.4,0.857,1.4,5.5,6.9,2.8,0.5,1,0.8,1.6,7.9,23-24
Talen Horton-Tucker,PG,23,UTA,31,11,21.5,4,9.9,0.408,1.2,3.6,0.327,2.8,6.2,0.456,0.469,1.7,2.1,0.8,0.4,2.2,2.5,4.1,1.1,0.4,1.6,2,10.9,23-24
Danuel House Jr.,SF,30,PHI,27,0,13.6,1.2,2.8,0.44,0.5,1.4,0.359,0.7,1.3,0.528,0.533,0.8,1.1,0.71,0.4,1.1,1.5,0.8,0.3,0.1,0.6,1.1,3.8,23-24
Caleb Houstan,SF,21,ORL,35,7,16,1.6,4.2,0.378,1.4,3.9,0.355,0.2,0.3,0.7,0.544,0.5,0.6,0.773,0.6,1.1,1.7,0.7,0.3,0,0.4,1.3,5.1,23-24
Jett Howard,SF,20,ORL,11,0,3.8,0.6,1.7,0.368,0.4,1.3,0.286,0.3,0.5,0.6,0.474,0.2,0.4,0.5,0.1,0.4,0.5,0.3,0,0.1,0.2,0.1,1.8,23-24
Kevin Huerter,SG,25,SAC,40,35,23.9,3.9,8.9,0.441,2,5.4,0.359,2,3.4,0.569,0.551,0.7,0.8,0.818,0.5,3.2,3.6,2.6,0.6,0.4,0.6,2.2,10.4,23-24
Jay Huff,C,25,DEN,5,0,2.4,0.4,0.8,0.5,0,0.4,0,0.4,0.4,1,0.5,0,0,,0,0.2,0.2,0.2,0,0,0.2,0.6,0.8,23-24
De'Andre Hunter,SF,26,ATL,24,24,30.3,5.1,11,0.46,1.9,4.8,0.404,3.2,6.3,0.503,0.547,2.8,3.1,0.907,0.6,3.5,4.1,1.4,0.8,0.4,1.5,3,14.9,23-24
Bones Hyland,PG,23,LAC,16,2,14.6,2.6,6.7,0.393,1.3,3.4,0.364,1.4,3.3,0.423,0.486,0.6,0.8,0.833,0.1,0.8,0.9,1.8,0.5,0.1,1.3,1.4,7.1,23-24
Joe Ingles,SF,36,ORL,30,0,18.4,1.7,4.1,0.411,1.1,2.6,0.41,0.6,1.5,0.413,0.54,0.6,0.7,0.85,0.5,2.2,2.6,3.4,0.8,0.1,1,1.6,5,23-24
Brandon Ingram,SF,26,NOP,40,40,33.1,7.9,16.3,0.487,1.4,3.9,0.353,6.6,12.4,0.529,0.529,4.2,5.1,0.814,0.6,4.2,4.8,5.7,0.8,0.4,2.4,2.2,21.4,23-24
Kyrie Irving,SG,31,DAL,27,27,33.3,9.3,19.6,0.472,2.9,7,0.411,6.4,12.6,0.506,0.545,3.8,4.2,0.895,0.8,4.3,5.1,5.3,1.3,0.4,1.6,1.9,25.2,23-24
Jonathan Isaac,PF,26,ORL,26,0,13.5,2.2,4.7,0.455,0.6,2,0.283,1.6,2.7,0.586,0.516,1.3,1.6,0.786,1.1,2.8,3.9,0.4,0.8,1.1,0.5,1.2,6.2,23-24
Jaden Ivey,SG,21,DET,40,24,26.5,5,11.1,0.451,1.3,4,0.317,3.7,7.1,0.528,0.509,3,4.1,0.732,1.3,2.4,3.7,3.7,0.8,0.6,2.3,2.8,14.3,23-24
Andre Jackson Jr.,SG,22,MIL,38,8,11.4,1.1,2,0.545,0.3,0.9,0.371,0.8,1.1,0.69,0.63,0.2,0.2,0.889,0.9,1.3,2.2,0.9,0.3,0.1,0.5,1.9,2.8,23-24
Gregory Jackson II,PF,19,MEM,12,0,13.5,2.4,5,0.483,1.3,2.7,0.5,1.1,2.3,0.464,0.617,1.3,1.9,0.696,0.8,2,2.8,0.5,0.3,0.5,0.6,1.1,7.5,23-24
Isaiah Jackson,C,22,IND,34,1,13.6,2.8,4.2,0.669,0,0.1,0,2.8,4.1,0.679,0.669,1.3,1.9,0.688,1.5,2.6,4.1,0.9,0.6,1.2,0.7,2.8,6.9,23-24
Jaren Jackson Jr.,C,24,MEM,42,42,31.6,7.4,16.4,0.451,1.8,5.5,0.328,5.6,11,0.512,0.505,5,6.1,0.831,1.3,4.4,5.6,1.9,1,1.6,2.1,3.5,21.6,23-24
Reggie Jackson,PG,33,DEN,45,14,23.1,4.6,9.7,0.47,1.4,3.6,0.378,3.2,6,0.526,0.541,0.9,1.2,0.75,0.4,1.7,2,4.1,0.6,0.2,1.5,1.8,11.4,23-24
Trayce Jackson-Davis,PF,23,GSW,31,3,14.5,2.9,4.3,0.682,0,0,,2.9,4.3,0.682,0.682,1.1,1.9,0.576,1.7,2.6,4.4,1,0.4,0.9,0.7,1.7,6.9,23-24
LeBron James,PF,39,LAL,40,40,34.3,9.3,17.8,0.52,2.2,5.5,0.391,7.1,12.3,0.577,0.58,4.1,5.6,0.74,0.9,6.3,7.2,7.4,1.3,0.6,3.4,1.1,24.8,23-24
Jaime Jaquez Jr.,SF,22,MIA,39,15,30.2,5.4,10.6,0.513,1.1,3,0.353,4.4,7.6,0.576,0.563,2.1,2.5,0.837,1.3,2.6,3.9,2.7,1.1,0.3,1.7,2.5,14,23-24
DaQuan Jeffries,SG,26,NYK,10,0,3,0.5,1.2,0.417,0.1,0.5,0.2,0.4,0.7,0.571,0.458,0,0.2,0,0,0.5,0.5,0.2,0,0,0.1,0.2,1.1,23-24
Trey Jemison,C,24,WAS,1,0,1,0,0,,0,0,,0,0,,,0,0,,0,0,0,0,0,0,1,0,0,23-24
Ty Jerome,SG,26,CLE,2,0,7.5,1,2,0.5,0,0.5,0,1,1.5,0.667,0.5,0,0,,0.5,0,0.5,1.5,0,0,0.5,1,2,23-24
Isaiah Joe,SG,24,OKC,44,0,19.2,3.1,6.6,0.462,2.1,5,0.429,0.9,1.7,0.562,0.623,0.7,0.8,0.833,0.4,2,2.4,1.2,0.6,0.3,0.6,1.2,9,23-24
Cameron Johnson,PF,27,BRK,35,35,28.5,5.2,11.5,0.453,2.5,6.2,0.399,2.7,5.3,0.516,0.561,1.1,1.6,0.714,1.2,3.5,4.6,2.6,0.7,0.2,0.9,1.9,14,23-24
Jalen Johnson,SF,22,ATL,30,27,32.5,6,11.1,0.541,1.2,3.2,0.365,4.8,7.9,0.612,0.593,1.9,2.6,0.734,1.2,7,8.2,3.1,1.3,0.8,2,2.4,15.1,23-24
James Johnson,PF,36,IND,5,0,4.8,0.4,1,0.4,0,0.2,0,0.4,0.8,0.5,0.4,0,0,,0.2,0.6,0.8,1,0.8,0,0.4,0.8,0.8,23-24
Keldon Johnson,SF,24,SAS,42,26,30.7,6,13.4,0.448,1.8,5.3,0.339,4.2,8.1,0.519,0.515,2.9,3.7,0.781,1.2,4.4,5.7,3.4,0.8,0.2,1.7,2.4,16.7,23-24
Keon Johnson,SG,21,BRK,1,0,21,3,8,0.375,2,4,0.5,1,4,0.25,0.5,4,4,1,0,1,1,1,1,1,1,1,12,23-24
Keyontae Johnson,SF,23,OKC,4,0,8.3,0.5,2,0.25,0,0.3,0,0.5,1.8,0.286,0.25,0,0,,0.5,0.5,1,1,0,0,0.8,0.5,1,23-24
Nikola Jokić,C,28,DEN,44,44,33.6,10.2,17.3,0.59,1,2.9,0.362,9.2,14.5,0.635,0.62,4.7,5.7,0.825,3,9,12,9.1,1.1,0.9,2.8,2.6,26.2,23-24
Colby Jones,SG,21,SAC,15,0,7.3,1.1,2.8,0.381,0.1,0.9,0.077,1,1.9,0.517,0.393,0.1,0.2,0.667,0.6,0.8,1.4,0.6,0.3,0.1,0.3,1,2.3,23-24
Damian Jones,C,28,CLE,19,0,5.9,0.7,1.3,0.56,0.1,0.3,0.333,0.6,1,0.632,0.6,0.3,0.3,0.833,0.2,0.7,0.9,0.3,0.2,0.2,0.3,0.6,1.8,23-24
Derrick Jones Jr.,SF,26,DAL,42,41,26,3.8,7.8,0.485,1.4,4,0.349,2.4,3.8,0.629,0.575,1.3,1.8,0.737,1.2,2.5,3.7,1,0.8,0.9,1,1.9,10.3,23-24
Herbert Jones,SF,25,NOP,41,41,28.7,3.9,7.8,0.492,1.3,3.4,0.396,2.5,4.4,0.566,0.578,1.9,2.2,0.856,1.1,2.5,3.7,2.5,1.2,1,1.2,2.8,10.9,23-24
Tre Jones,PG,24,SAS,39,10,25.3,3.7,7.5,0.498,0.6,2.2,0.264,3.2,5.3,0.597,0.538,1.4,1.5,0.898,0.7,2.5,3.2,5.5,0.9,0.1,1.4,1.3,9.4,23-24
Tyus Jones,PG,27,WAS,43,43,28.3,5.2,10.2,0.507,1.6,3.7,0.416,3.6,6.4,0.56,0.583,0.5,0.7,0.733,0.3,2.5,2.9,6,1.2,0.3,0.8,0.7,12.4,23-24
DeAndre Jordan,C,35,DEN,21,1,12.5,1.8,2.8,0.655,0,0,,1.8,2.8,0.655,0.655,1,2.2,0.435,1.7,3.2,4.9,0.9,0.2,0.5,0.9,1.9,4.6,23-24
Cory Joseph,PG,32,GSW,22,0,11.1,0.7,2.3,0.314,0.4,1.5,0.242,0.4,0.8,0.444,0.392,0.2,0.3,0.571,0.2,0.8,1,1.7,0.2,0.1,0.5,0.9,2,23-24
Nikola Jović,PF,20,MIA,17,12,18.2,2.1,5.2,0.409,1.1,2.5,0.419,1.1,2.6,0.4,0.511,0.6,1.2,0.55,0.9,3.8,4.6,2.1,0.4,0.4,1,2.2,5.9,23-24
Johnny Juzang,SG,22,UTA,1,0,4,0,2,0,0,2,0,0,0,,0,0,0,,0,0,0,1,0,0,0,0,0,23-24
Luke Kennard,SG,27,MEM,20,8,24.4,3.5,8,0.431,2.6,6.1,0.426,0.9,1.9,0.447,0.594,0.9,1,0.895,0.4,2.7,3.1,3,0.5,0.1,0.9,1,10.4,23-24
Walker Kessler,C,22,UTA,37,13,24,3.8,5.8,0.648,0.1,0.4,0.25,3.7,5.4,0.68,0.657,0.8,1.6,0.483,2.6,5.1,7.6,0.8,0.5,2.7,1,2.1,8.5,23-24
Braxton Key,SF,26,DEN,13,0,3.4,0.4,1.1,0.357,0.1,0.3,0.25,0.3,0.8,0.4,0.393,0.3,0.4,0.8,0.2,0.6,0.8,0.6,0.2,0,0.1,0.3,1.2,23-24
Corey Kispert,SF,24,WAS,42,1,21.6,4,8.4,0.479,1.9,5.2,0.369,2.1,3.2,0.657,0.593,1.5,1.9,0.775,0.3,1.9,2.2,1.5,0.3,0.2,1,1.5,11.4,23-24
Maxi Kleber,C,32,DAL,10,2,19,1.2,3.4,0.353,0.5,2,0.25,0.7,1.4,0.5,0.426,0.9,1.3,0.692,0.8,2.6,3.4,1.8,0.2,0.7,0.9,2.3,3.8,23-24
Kevin Knox,SF,24,DET,26,9,18.6,3,6.3,0.47,1.2,3.3,0.353,1.8,3,0.595,0.561,0.7,0.7,0.895,0.6,1.9,2.5,0.7,0.4,0.3,0.6,1.6,7.7,23-24
John Konchar,SF,27,MEM,35,6,17.5,1.3,3.3,0.386,0.6,2,0.29,0.7,1.3,0.533,0.474,0.3,0.3,0.75,1.1,2.9,4,1.6,0.7,0.9,0.5,1.1,3.3,23-24
Furkan Korkmaz,SG,26,PHI,27,0,6.9,0.6,1.7,0.362,0.2,0.8,0.273,0.4,0.9,0.44,0.426,0.3,0.4,0.7,0,0.5,0.6,0.5,0.4,0,0.3,0.4,1.7,23-24
Luke Kornet,C,28,BOS,31,2,14.9,2.1,3,0.691,0,0,,2.1,3,0.691,0.691,0.7,0.8,0.875,1.8,2,3.8,0.9,0.4,1,0.5,1.4,4.9,23-24
Jonathan Kuminga,PF,21,GSW,40,15,23.3,5.2,9.9,0.526,0.8,2.5,0.307,4.5,7.4,0.601,0.565,2.7,3.8,0.709,1.1,3.3,4.4,1.5,0.6,0.4,1.4,2.1,13.9,23-24
Kyle Kuzma,PF,28,WAS,43,43,31.3,8.4,18.5,0.455,2.3,6.7,0.344,6.1,11.8,0.519,0.518,2.6,3.2,0.791,1,5.5,6.6,4.4,0.4,0.6,2.7,2.1,21.7,23-24
Jock Landale,C,28,HOU,25,0,9.1,0.8,2.2,0.382,0.1,0.7,0.118,0.8,1.5,0.5,0.4,0.4,0.6,0.733,1.1,0.8,1.9,0.5,0.2,0.4,0.4,0.9,2.2,23-24
Jake LaRavia,PF,22,MEM,11,0,11.1,1.5,3.9,0.372,0.5,2.2,0.208,1,1.7,0.579,0.43,0.3,0.4,0.75,0.6,0.8,1.5,0.5,0.1,0.1,0.4,1.7,3.6,23-24
Zach LaVine,SG,28,CHI,25,23,34.9,6.8,15,0.452,2.4,6.8,0.349,4.4,8.3,0.536,0.531,3.5,4.1,0.854,0.3,4.8,5.2,3.9,0.8,0.3,2.1,2.3,19.5,23-24
A.J. Lawson,SG,23,DAL,20,0,9.7,1.6,3.5,0.464,0.6,1.8,0.343,1,1.7,0.588,0.551,0.6,0.8,0.733,0.5,0.9,1.3,0.6,0.5,0.1,0.5,0.7,4.4,23-24
Saben Lee,PG,24,PHO,11,0,6.8,0.8,1.9,0.429,0,0.5,0,0.8,1.5,0.563,0.429,1.2,1.5,0.765,0.5,0.6,1.1,1.1,0.3,0.3,0.5,0.5,2.8,23-24
Alex Len,C,30,SAC,17,0,8.8,1.1,1.7,0.621,0,0.1,0,1.1,1.6,0.667,0.621,0.2,0.6,0.4,1.4,1.9,3.3,1.1,0.2,0.5,0.6,1.1,2.4,23-24
Kawhi Leonard,SF,32,LAC,38,38,34.7,8.8,16.9,0.522,2.2,5.1,0.443,6.6,11.9,0.555,0.588,3.8,4.3,0.879,1.1,5.1,6.2,3.8,1.7,0.8,1.6,1.6,23.7,23-24
Caris LeVert,SG,29,CLE,32,1,28.8,5.7,13.5,0.422,1.9,5.6,0.344,3.8,7.8,0.478,0.494,2.4,3.3,0.743,0.5,3.1,3.6,4.1,1,0.4,1.6,1.6,15.8,23-24
Kira Lewis Jr.,PG,22,NOP,15,0,9.6,1.1,3.5,0.308,0.1,1.3,0.1,0.9,2.1,0.438,0.327,0.7,0.7,0.909,0.3,0.7,0.9,1.2,0.3,0.1,0.5,0.5,2.9,23-24
Maxwell Lewis,SF,21,LAL,15,0,4.1,0.1,0.7,0.2,0.1,0.2,0.333,0.1,0.5,0.143,0.25,0,0,,0.1,0.1,0.2,0.2,0.1,0,0.3,0.1,0.3,23-24
E.J. Liddell,PF,23,NOP,6,0,2.8,0.2,0.8,0.2,0,0.7,0,0.2,0.2,1,0.2,0.3,0.3,1,0,0.5,0.5,0.2,0,0.3,0.3,0.3,0.7,23-24
Damian Lillard,PG,33,MIL,41,41,35.2,7.4,17.5,0.426,3,8.6,0.347,4.4,8.8,0.503,0.512,7.5,8.1,0.922,0.5,3.8,4.3,6.8,1.1,0.1,2.4,1.6,25.3,23-24
Nassir Little,SF,23,PHO,26,2,14.3,1.8,3.7,0.484,0.6,2,0.308,1.2,1.7,0.698,0.568,0.7,0.8,0.85,0.5,1.8,2.3,0.6,0.4,0.3,0.5,1.2,4.8,23-24
Dereck Lively II,C,19,DAL,33,32,25.3,4,5.4,0.742,0,0.1,0,4,5.3,0.75,0.742,0.8,1.3,0.568,2.9,4.8,7.7,1.3,0.6,1.4,1.2,2.9,8.8,23-24
