position,age,games_played,games_started,minutes_played_per_game,field_goals_per_game,field_goals_attempts_per_game,three_point_field_goals_per_game,three_point_field_goals_attempts_per_game,two_point_field_goals_per_game,two_point_field_goals_attempts_per_game,free_throws_per_game,free_throws_attempts_per_game,offensive_rebounds_per_game,defensive_rebounds_per_game,total_rebounds_per_game,assists_per_game,steals_per_game,blocks_per_game,turnovers_per_game,personal_fouls_per_game,points_per_game
PG,23,5,0,14.2,1.2,2.8,0.4,1.2,0.8,1.6,0.2,0.4,0.2,1,1.2,0.8,0.8,0.4,0.8,1.2,3
C,25,12,0,2.8,0.5,1,0.3,0.4,0.3,0.6,0.3,0.3,0.1,0.8,0.9,0.1,0.1,0.1,0.1,0.2,1.6
SG,19,66,32,23.5,4.1,9.3,1.2,3.9,2.9,5.4,0.9,1.1,0.4,2.3,2.7,1.9,0.5,0.1,1.2,1.7,10.2
PF,26,4,0,9.8,2,3.5,1,2.3,1,1.3,0.5,0.5,0.3,1.3,1.5,0.8,0,0.5,0.5,0.8,5.5
SG,21,76,6,15.5,1.9,3.8,0.4,1.3,1.4,2.5,0.5,0.8,0.6,1.8,2.4,0.8,0.5,0.2,0.5,1.3,4.7
PF,24,65,2,16.7,1.9,4.9,0.7,2.4,1.2,2.5,1.6,2.2,1,2.4,3.4,0.7,0.5,0.2,0.5,1.2,6.1
PG,30,67,0,26,5.3,10.9,2,4.4,3.3,6.5,2.4,2.7,0.6,3.6,4.2,3.7,0.7,0.3,1.5,1.6,14.9
SF,27,73,73,30.3,5.4,13.6,2,6,3.4,7.6,1.6,2.1,0.6,2.7,3.3,2.6,0.9,0.2,1.4,3.3,14.3
SF,26,80,31,28.5,4.5,9.3,1.1,3.2,3.3,6.1,1.5,1.9,0.8,3.3,4.1,3.4,1.1,0.6,1.5,2.4,11.5
PF,21,16,0,5.8,0.7,1.8,0.1,0.4,0.6,1.3,0.3,0.8,0.1,1.1,1.2,0.2,0.3,0.3,0.4,0.8,1.8
SF,26,67,67,35.9,10.1,20.6,2.4,7.3,7.7,13.4,3.9,5.1,1.2,5.7,6.9,3.5,1.1,0.4,2.9,2.6,26.6
SG,19,6,0,6.7,0.7,1.2,0,0.2,0.7,1,0.2,0.3,0.3,0.7,1,0.5,0.7,0,0.3,1.5,1.5
C,23,36,1,8.2,1.7,2.7,0,0,1.7,2.7,0.9,2,1.6,2.3,3.9,0.1,0.1,0.4,0.4,1.1,4.3
SF,27,4,0,6,0,1,0,0.5,0,0.5,0,0,0.8,1.3,2,0.5,0.8,0,0,1,0
SF,23,76,45,24.5,2.6,6.1,1.4,3.7,1.2,2.4,0.4,0.5,0.8,3.2,4.1,1.3,0.8,0.2,0.6,1.6,7.1
PG,26,68,68,35,8.6,17.6,2,4.7,6.7,12.8,4.8,5.8,0.6,3,3.5,6.2,0.9,0.2,2.1,2.2,24
C,25,59,26,18.3,3.9,6.3,0.4,1,3.5,5.3,1.6,2.1,1.5,4.3,5.7,0.5,0.3,0.5,0.6,1.7,9.8
SF,31,78,55,30.3,2.5,6,1.9,5.1,0.5,0.9,0.3,0.5,0.4,3.2,3.6,1.4,0.7,0.2,0.5,2.1,7.2
SG,31,51,8,22,3.9,9,1.9,4.7,2,4.3,3,3.7,0.4,2.7,3.1,2.2,0.7,0.2,1.1,1.9,12.8
PF,29,2,0,3,0,1,0,0.5,0,0.5,0,0,0,0,0,0,0,0,0,0,0
PG,22,6,1,12.8,2.5,5.3,1.2,2.3,1.3,3,0,0,0.2,0.5,0.7,1.3,0.8,0,0.8,0.8,6.2
PF,33,64,64,33.4,7.5,13.9,0.6,1.6,6.9,12.3,7.4,8.7,2.2,3.7,5.9,5.3,1.8,0.3,1.6,1.3,22.9
C,20,19,1,11.6,0.9,2.8,0.4,1.8,0.5,0.9,0.2,0.2,0.2,0.7,0.9,0.6,0.4,0.5,0.1,1.2,2.4
PF,23,18,0,13.3,2.1,3.7,0.4,1.1,1.7,2.6,0.9,1.2,0.8,2.1,2.9,0.7,0.6,0.1,0.3,1.2,5.4
SG,29,76,76,31.3,3.8,8.3,1.8,4.2,2.1,4.1,1.4,1.6,0.5,2.3,2.7,2.4,1.5,0.5,1.1,1.9,10.8
PG,31,8,0,6.5,0.4,1.6,0.4,1.4,0,0.3,0.1,0.3,0,0.3,0.3,1.1,0.8,0,0.4,0.4,1.3
PF,25,60,9,14.8,1.8,3.8,0.7,1.9,1.1,1.9,0.6,0.7,0.4,1.7,2.1,1.3,0.4,0.2,0.6,1.4,5
C,28,65,63,26.6,5.4,8.2,0,0,5.4,8.2,1.2,2,4,7.1,11,0.9,0.7,1.2,0.8,2.1,12
C,21,11,0,2.5,0.2,0.7,0,0,0.2,0.7,0.2,0.2,0.3,0.7,1,0.3,0.2,0.2,0.2,0.5,0.5
PG,27,81,39,22.3,3,7,1.8,4.2,1.2,2.8,0.4,0.5,0.4,2.1,2.5,2.4,0.8,0.4,1,2,8
C,23,57,54,29.6,5.6,10.8,1.4,3.9,4.2,6.8,2.5,3.4,2.1,6.6,8.7,2.3,0.5,0.6,1.9,2.8,15.2
PG,31,4,0,11,1.5,3.5,0.3,0.8,1.3,2.8,1,1.8,0.3,1,1.3,1.8,0.3,0.3,1,1.3,4.3
PG,28,67,36,23.5,1.9,4.3,0.8,2.3,1.1,2,0.9,1.1,0.6,2.3,2.9,2.9,1.5,0.7,1.1,2.4,5.6
SF,21,17,3,18.8,3.5,7.6,1.9,4.8,1.5,2.8,0.8,1,0.6,2.9,3.5,0.6,0.4,0.3,0.6,1.5,9.7
SF,21,5,0,6.8,1,3,0.2,1,0.8,2,0,0,0.6,1,1.6,0.8,0.2,0,0,0.4,2.2
PG,20,36,0,7.8,1,2.3,0.1,0.4,0.9,1.9,0.2,0.4,0.3,0.8,1.1,1.6,0.3,0.1,0.5,0.4,2.2
SG,19,41,3,12.5,1.1,2.6,0.6,1.5,0.4,1.1,0.3,0.4,0.2,1.7,1.8,0.5,0.2,0.2,0.3,0.8,3.1
SG,21,64,2,12.3,2.4,5.1,0.3,1.4,2.1,3.8,0.7,0.9,0.3,0.8,1.1,1.1,0.5,0.2,0.9,0.9,5.8
PF,26,56,8,19.5,4.1,6.2,0,0.1,4.1,6.1,1.8,2.4,1.6,3.9,5.5,1.3,0.6,0.7,1,2.3,10
SG,30,61,61,32.6,7.5,16.9,2.5,7.5,5,9.4,3.3,4,1.2,2.9,4,4.4,0.5,0.2,3,2,20.8
C,23,76,76,29.9,5.4,7.7,0,0,5.4,7.7,1.8,3.2,2.4,6.8,9.2,1.9,0.9,2.5,1.3,2.8,12.6
SF,25,50,9,12.5,1.1,2.9,0.2,0.8,0.9,2.1,1,1.3,0.3,0.7,1.1,1.1,0.1,0.1,0.4,1,3.4
PF,25,71,71,30,5.1,10,1,3.4,4.1,6.6,2,2.5,1.1,5.4,6.5,1.2,0.6,1,1.1,3.1,13.1
C,25,63,26,22.9,4.5,8.7,0.9,2.3,3.6,6.4,1.7,2.3,1.8,4.5,6.4,2.9,0.6,0.8,2,3.2,11.6
C,26,1,0,21,3,5,0,0,3,5,1,4,2,1,3,0,0,1,0,0,7
PG,35,67,66,30.3,3.9,9.1,2,5.2,1.9,3.9,2.1,2.5,0.5,2.2,2.7,6.7,1.1,0.2,1.5,2.1,11.9
SF,30,61,33,23.7,2.7,6.9,1.8,5.3,0.9,1.6,0.4,0.7,0.8,3.8,4.6,1.3,0.6,0.2,0.5,1.1,7.6
PF,27,10,1,12.6,1.7,2.8,0,0.1,1.7,2.7,0.4,1,1.6,2.2,3.8,0.6,0.6,0.4,0.8,1.3,3.8
PF,32,48,0,16.2,2.1,4.8,1.1,2.8,1,1.9,0.6,0.8,0.6,2.8,3.5,1.2,0.8,0.7,0.7,1.8,6
PF,32,79,60,24.7,2.9,6.3,1.3,3.2,1.6,3.1,0.4,0.6,1.8,3.6,5.4,1.5,0.6,0.8,0.9,2.3,7.4
PF,32,18,3,18.9,2.5,5.2,1.3,3.1,1.2,2.2,0.6,0.7,0.9,2.9,3.8,1.5,0.7,0.3,0.4,1.5,6.9
SF,23,10,1,13.7,1.7,4.3,0.1,1.2,1.6,3.1,0.9,1.3,1,2.8,3.8,0.6,0.6,0.2,0.7,1.4,4.4
PG,21,12,12,33.3,7.8,18.7,1.4,5.1,6.3,13.6,3,3.6,1,5.2,6.2,6,0.8,0.6,3.3,2.8,19.9
SG,32,61,7,19.9,3.4,7.4,1.5,3.8,1.9,3.6,0.8,0.9,0.2,1.4,1.6,1.6,0.6,0.1,0.8,1.6,9.2
PG,34,56,56,34.7,10,20.2,4.9,11.4,5.1,8.8,4.6,5,0.7,5.4,6.1,6.3,0.9,0.4,3.2,2.1,29.4
PG,19,59,11,17.7,1.5,3.5,0.5,1.5,1,2.1,0.4,0.7,0.6,2.6,3.2,2.3,0.7,0.2,1,1.7,3.8
C,29,56,54,34,9.7,17.2,0.3,1.3,9.3,15.9,6.2,7.9,3.5,9.1,12.5,2.6,1.1,2,2.2,2.6,25.9
SG,20,28,5,15.1,2.4,6.1,0.6,2.5,1.8,3.6,0.5,1,0.4,2,2.3,1,0.4,0.3,0.6,1.7,5.8
