position,age,games_played,games_started,minutes_played_per_game,field_goals_per_game,field_goals_attempts_per_game,three_point_field_goals_per_game,three_point_field_goals_attempts_per_game,two_point_field_goals_per_game,two_point_field_goals_attempts_per_game,free_throws_per_game,free_throws_attempts_per_game,offensive_rebounds_per_game,defensive_rebounds_per_game,total_rebounds_per_game,assists_per_game,steals_per_game,blocks_per_game,turnovers_per_game,personal_fouls_per_game,points_per_game
PF,29,78,1,19.4,2.8,6.4,2,4.9,0.9,1.5,0.5,0.6,0.2,2.1,2.4,1,0.4,0.2,0.7,1.9,8.2
PG,20,57,7,16,1.4,4.2,0.7,2.5,0.7,1.7,0.4,0.6,0.3,1.4,1.7,2.3,0.5,0.1,1.5,1,4
PF,22,53,5,13.7,2.1,3.7,0.3,1.2,1.8,2.5,0.8,1.2,1.2,1.4,2.6,0.3,0.3,0.4,0.6,2,5.2
C,28,17,4,11.5,0.8,2.1,0.1,0.1,0.7,2,0.5,0.7,0.6,2.1,2.7,0.6,0.9,0.6,0.8,1.9,2.1
SG,23,65,2,19.3,4.3,9.6,1,3.6,3.3,6,1.2,1.5,0.6,2.1,2.6,2,0.6,0.1,1,1.6,10.8
SG,24,47,5,12.9,1,2.8,0.4,1.4,0.7,1.4,0.5,0.7,0.1,1.2,1.3,1.2,0.3,0.1,0.6,1.4,2.9
SG,27,70,2,13.8,2.7,6.4,1.1,3.2,1.6,3.2,0.5,0.6,0.2,1.3,1.6,1.3,0.4,0.1,0.9,0.9,7.1
C,28,52,52,26.8,5,9.7,0.8,2.3,4.2,7.4,2.4,3.7,2.2,6.9,9.1,2.9,0.8,0.8,2.3,3.6,13.3
SF,24,62,14,19.2,3.1,7.2,1.4,3.4,1.7,3.8,1.1,1.4,0.8,2.9,3.7,1.4,0.4,0.2,1.1,1.2,8.7
SF,29,76,53,31.7,3,7.8,2.1,5.5,0.9,2.3,0.7,0.9,0.7,4.3,5.1,3.7,0.9,0.6,1.5,3.1,8.8
SF,24,27,8,19.2,1.6,4.5,1,3.2,0.6,1.3,0.6,0.8,1,2.6,3.6,1.4,0.7,0.4,0.6,1.5,4.7
SG,24,72,26,18.8,2.3,5.8,0.9,2.7,1.3,3,1.9,2.7,1.5,2,3.5,1.5,0.8,0.5,0.9,1.6,7.3
C,22,80,18,23.1,4,6.2,0.1,0.2,3.9,6.1,1.9,2.5,2.7,4.5,7.2,1,0.7,1.3,1,3.1,9.9
SF,22,76,46,21.7,2.3,4.7,0.8,2.3,1.5,2.4,1,1.4,0.7,1.8,2.5,1.1,0.7,0.4,0.6,2.1,6.4
PF,23,35,3,7.1,0.5,1.1,0.2,0.6,0.3,0.5,0.2,0.2,0.2,0.8,1,0.4,0.2,0.2,0.2,1.1,1.3
SG,30,42,2,26.3,3.8,9.6,1.7,5,2.1,4.5,1.4,1.9,0.4,2.7,3,3.5,1.4,0.3,2.1,2.4,10.7
C,31,68,68,28.6,4.1,8.2,1.4,3.5,2.7,4.7,2.9,3.4,1.2,5,6.2,3.7,0.9,0.5,2.5,3.4,12.5
SF,25,40,6,16.1,2.5,5.7,0.6,2.2,1.9,3.5,1.3,1.9,1.1,1.7,2.8,0.7,0.7,0.1,0.9,2.3,7
SF,27,77,2,20.1,3.1,6.9,1.5,4.1,1.6,2.8,1,1.4,0.3,2,2.3,1.5,0.5,0.1,0.7,1.6,8.7
SF,27,48,40,32.3,7.4,17.1,2.3,7.1,5.1,10,3.3,4.3,1.4,3.8,5.2,1.1,1.4,0.4,1.3,2.9,20.3
PG,37,59,59,32,5,11.3,1.7,4.4,3.3,6.9,2.3,2.7,0.5,3.8,4.3,8.9,1.5,0.4,1.9,2.1,13.9
PG,28,48,15,20.2,3.9,9.4,1.4,3.9,2.5,5.6,1,1.3,0.3,2,2.2,4.5,0.7,0.2,1.7,1.8,10.3
SG,30,22,1,16.7,1.9,3.1,0.6,1.2,1.3,2,0.3,0.3,1.1,2,3.1,1.4,1,0.2,0.7,2,4.6
SG,27,40,1,8.1,0.8,2.2,0.6,1.6,0.2,0.6,0.3,0.3,0.3,1.3,1.6,1.2,0.2,0,0.3,0.9,2.4
PG,22,6,0,5.3,0.7,2,0.2,0.5,0.5,1.5,0.8,1.5,0.3,0.3,0.7,0.3,0.3,0.2,0.3,0.5,2.3
C,32,79,60,26,4.2,6.1,0,0,4.2,6.1,2.5,4,2.9,6,8.9,3.1,0.6,0.6,1.5,2.7,10.8
C,27,72,71,26.5,5.4,8.6,0,0,5.4,8.6,1.7,2.8,3.3,5.8,9.1,2.7,0.9,1.2,1.7,2.7,12.5
PF,21,34,25,20.6,3.2,7.3,1.1,3.1,2.1,4.3,0.6,1,1.3,3.4,4.7,1.9,0.6,1.3,1.3,1.7,8.1
PG,23,82,43,30,6.7,15.6,2.6,7.8,4.1,7.8,4.4,5.1,0.4,2.4,2.7,4.5,0.8,0.3,3.1,2.6,20.4
PG,22,59,59,34.3,6.6,15,2.4,6.5,4.2,8.5,3.5,4.5,1.3,4,5.3,5.7,1.4,0.3,3.2,2.6,19.2
SF,24,62,62,29,6.4,13.2,3,7.3,3.4,5.9,1.5,1.9,1,4.5,5.5,1,0.6,0.5,1.1,1.9,17.4
SF,29,8,2,18.3,1.9,3.8,0.8,2.1,1.1,1.6,1,1,0.8,1.6,2.4,1,1.4,0,0.5,0.9,5.5
PF,27,70,22,26,5.7,11.5,1.4,3.7,4.3,7.8,1.4,1.8,2.2,7.4,9.6,1.5,0.4,0.2,1.2,1.6,14.1
C,27,65,65,32.6,7.8,15.7,2.1,5.5,5.7,10.2,5.4,6.4,1.8,6.6,8.4,2.7,0.9,1.5,2.1,3,23.2
PF,24,7,0,7.4,1.4,2.1,0.6,1,0.9,1.1,0,0,0.4,1.9,2.3,0.6,0.1,0,0.3,0.7,3.4
C,31,76,64,19.2,2.6,3.5,0,0.1,2.6,3.5,1.5,2.2,2,2.2,4.1,0.9,0.6,0.3,0.9,2.8,6.7
SG,29,60,8,26.1,5.7,11.8,1.9,4.8,3.8,7.1,3.8,4.6,0.4,2.5,2.9,1.8,0.8,0.3,1.7,2.1,17
PG,23,14,0,8.9,1.3,2.9,0.4,1.3,0.9,1.6,0,0.1,0.1,1.4,1.6,1.9,0.1,0,0.7,0.5,2.9
SG,20,4,0,23.3,2.3,6.5,0.8,3,1.5,3.5,1.8,2.3,0.5,2.8,3.3,4.5,0.3,0.5,2.8,2,7
PF,28,54,4,22.1,3.3,7,1.4,3.6,1.9,3.4,1.2,1.4,0.3,2.2,2.4,1.6,0.5,0.3,1.3,2.3,9.1
PG,25,48,3,13.4,2.1,5.1,1.2,3.2,0.9,1.9,0.3,0.3,0.5,1.3,1.8,1.3,0.3,0,0.8,0.8,5.6
SG,25,7,0,10,1,4.1,0.3,2.1,0.7,2,0.7,0.7,1.1,1.3,2.4,0.9,0.3,0.7,1,0.6,3
C,23,5,0,5.8,1.2,1.8,0,0,1.2,1.8,0,0.4,1,1.2,2.2,0.2,0,0.4,0.2,1.4,2.4
SG,23,81,21,28.9,5.2,11.6,2.1,5.6,3.1,6,2.5,3.1,0.7,3.4,4.2,3.4,1,0.2,1.2,2,14.9
SG,22,4,0,4.5,0.5,1.3,0.5,1,0,0.3,1,1.5,0.3,0.5,0.8,0.5,0.3,0,1.3,0,2.5
PF,28,77,77,35.5,8.5,18.6,2.8,8.3,5.7,10.3,5.2,6.9,1.8,8.1,10,4.1,0.6,0.3,2.8,3,25.1
SG,24,64,22,28.8,4,7.7,1.3,3.4,2.7,4.3,3.6,4.1,0.5,2.5,3,3.4,0.5,0.3,1.5,1.7,13
SF,23,40,20,24.8,3.5,7.8,1.1,3.6,2.4,4.2,1.6,1.9,0.5,1.8,2.2,1.4,1,0.4,1.2,1.8,9.7
SG,27,43,1,8,0.7,2,0.4,1.1,0.3,0.9,0.4,0.6,0.2,1.1,1.4,0.5,0.3,0.1,0.5,0.9,2.1
C,23,69,2,10.9,1.8,3,0,0.1,1.8,2.9,0.6,0.7,1.6,2.2,3.8,0.4,0.7,0.7,0.7,1.8,4.2
C,23,68,11,18.4,4.6,8.5,1.1,3.2,3.5,5.3,1.3,1.9,1.1,3.8,4.9,1.1,0.6,0.8,1.4,2.6,11.5
SG,23,14,0,14.1,1.2,3.1,0.4,1.4,0.9,1.7,0.4,0.4,0.8,1.9,2.6,0.3,0.3,0.1,0.2,1.6,3.2
C,25,65,9,18.7,3,4.8,0,0,3,4.8,2.1,2.8,2.3,4.1,6.4,0.6,0.2,1.1,0.9,2.4,8.2
SG,29,65,10,23.5,3.7,8.5,1.6,4.5,2,4,1.1,1.2,0.6,2.1,2.7,2.7,1.1,0.3,1.3,1.8,10.1
SG,30,52,10,19.5,1.8,4,0.8,2.4,0.9,1.7,0.6,0.8,0.1,1.5,1.6,1.4,0.5,0.1,0.4,1.5,4.9
SF,28,42,1,16.5,2.1,5.6,1.5,4.6,0.6,1.1,0.7,0.8,0.2,1.5,1.6,1.1,0.3,0,0.7,1.8,6.4
C,24,59,58,27,3.2,4.7,0,0,3.2,4.7,1,2.1,4.5,4.9,9.4,0.9,0.9,1.8,0.7,2.7,7.4
C,22,31,1,13.7,1.5,2.9,0,0.2,1.5,2.7,0.7,1,1.5,2.5,4.1,0.8,0.4,0.4,0.5,1.7,3.7
PF,22,43,20,18.9,2.6,5.8,0.9,2.6,1.7,3.2,0.8,1,1.7,2.5,4.2,1,0.6,0.3,0.4,1.7,6.8
PF,24,42,2,11.3,1.6,3.7,0.4,1.4,1.2,2.3,0.5,1,0.5,2,2.5,0.9,0.4,0.2,0.7,1.3,4.1
PF,21,70,4,18,2.6,6,0.9,3,1.6,3,0.6,0.9,0.7,2,2.8,0.8,0.4,0.3,0.8,1.5,6.7
PG,20,12,0,5.2,0.6,1.7,0.3,0.8,0.3,0.9,0.5,0.5,0.3,0.8,1,0.5,0.1,0.1,1.3,0.8,1.9
PG,34,27,0,12.5,2.3,5.9,0.7,2.3,1.6,3.6,0.4,0.4,0.3,1.2,1.5,1.7,0.3,0.2,0.8,0.7,5.6
SG,31,63,9,21.1,3.2,7.4,1.5,4.1,1.7,3.3,0.4,0.5,0.3,2.1,2.4,1.5,0.6,0.2,0.7,1.5,8.3
SG,28,63,63,35.3,7.8,18.9,2.6,8,5.2,10.8,2.8,3.5,0.8,3.3,4.1,5.1,1.2,0.3,2.1,1.9,21.1
PG,32,33,2,17.2,1.8,5.4,0.6,2.5,1.2,2.9,0.8,1.1,0.3,1.8,2.1,3.5,0.8,0.2,0.9,1.5,5.2
PG,26,71,71,32.5,6.3,13.4,2.7,6.9,3.5,6.5,2.5,3,0.5,2.5,3,6.2,1,0.4,2.6,2,17.8
SF,25,34,0,9.1,1.2,3.2,0.9,2.5,0.2,0.7,0.3,0.4,0.1,0.6,0.8,0.5,0.1,0,0.2,0.8,3.6
C,26,79,79,34.6,7.3,11.9,0.4,1.1,6.9,10.8,4.1,5.5,3.2,9.1,12.3,7.3,0.8,0.5,2.9,3.5,19.1
PF,23,7,4,23,3.7,8.1,1.1,4.4,2.6,3.7,1.3,1.9,0,4.3,4.3,2.1,0.9,0.3,1.4,2.4,9.9
C,23,9,1,12.7,1.7,3.3,0.1,0.9,1.6,2.4,0.6,0.8,1.3,2.1,3.4,0.4,0.1,0.6,0.4,1.9,4
SF,24,2,0,3,0.5,1,0.5,0.5,0,0.5,0,0,0,0,0,0.5,0.5,0,0,0.5,1.5
PF,25,37,0,12.2,1.5,3.3,0.6,2,0.8,1.3,0.6,0.6,0.6,1.1,1.7,0.8,0.2,0.1,0.4,1.6,4.2
PG,29,66,50,30.1,4.1,9.8,1.1,3.4,3,6.4,3.3,3.8,0.3,2.2,2.5,4.5,0.8,0.2,1.7,2.2,12.6
SG,22,2,0,15,2.5,3.5,1,1,1.5,2.5,0.5,1,0,3,3,0.5,1,0,1.5,1,6.5
SG,22,5,0,2.4,0.4,1,0,0,0.4,1,0,0,0.2,0,0.2,0,0,0,0,0.2,0.8
C,20,75,72,28.9,5.9,10.7,0.3,0.8,5.6,9.9,2.7,3.8,3.2,5.8,9,3.9,0.9,0.9,2.6,3.4,14.8
PG,24,48,15,23.9,4.9,9.8,1,2.5,3.9,7.2,3.4,4.1,0.8,1.4,2.2,2.9,0.6,0.1,1.8,2.3,14.3
SG,25,40,9,20.2,2.8,7.5,1.9,5,1,2.5,1.1,1.3,0.3,1.4,1.7,2.3,0.7,0.1,0.9,1.5,8.7
C,21,48,3,11.5,1.9,3.6,0.1,0.2,1.8,3.3,0.7,1.1,2.1,2.1,4.2,0.8,0.3,0.7,0.9,1.9,4.7
SG,19,80,15,22.2,3.8,8.1,1.3,3.5,2.6,4.6,0.9,1.3,0.8,2.2,3,1.2,0.5,0.3,1,1.7,9.9
PF,28,71,71,37.4,8.9,18.5,1.3,4,7.6,14.5,5.2,6.7,1.8,6,7.8,5.8,0.9,0.5,2.4,3.2,24.2
PF,26,1,0,3,1,1,0,0,1,1,0,0,0,0,0,0,0,0,1,2,2
PG,26,42,33,26.3,3.2,5.6,0,0,3.2,5.5,0.6,1.4,1,5.3,6.3,6.1,1.3,0.6,2.3,3.3,6.9
SG,25,5,0,5.6,0.2,1.2,0.2,1,0,0.2,0.4,0.4,0.2,0.6,0.8,1,0,0.4,0.2,0,1
C,23,7,0,2.9,0.3,1,0.1,0.6,0.1,0.4,0.1,0.3,0.1,0.1,0.3,0,0,0,0,0.7,0.9
SG,23,62,62,35,7.5,16.9,3.4,9.1,4.1,7.8,2.6,2.9,0.3,2.3,2.6,4.1,0.7,0.2,2.1,2.3,21.1
C,24,52,16,15.6,1.6,2.1,0,0,1.6,2,0.2,0.3,1.9,2.8,4.7,0.5,0.3,0.5,0.5,1.8,3.4
PG,28,61,61,32.1,4.1,9.9,1.9,5.6,2.2,4.3,1.4,1.9,0.8,2.4,3.1,6.3,1.5,0.4,2.3,2.8,11.5
PG,25,54,15,25.7,3.4,8.4,0.4,2.1,3,6.3,1.4,2,0.5,2.6,3.1,4.8,1.4,0.5,1.5,2.3,8.8
SG,25,15,1,10.5,1.2,3,0.3,1.3,0.9,1.7,0.2,0.2,0.1,1.5,1.6,1.5,0.7,0.3,0.2,1.5,2.9
PG,34,43,0,9.3,1.2,3,0,0.3,1.2,2.8,0,0.1,0.1,1.1,1.3,2.3,0.2,0.2,1,0.8,2.5
PF,19,79,79,31,4.6,11.3,1.5,4.9,3.1,6.3,2.1,2.6,1.5,5.7,7.2,1.3,0.5,0.9,1.3,2.9,12.8
C,22,68,31,18.8,3.6,7.5,0.8,2.8,2.8,4.7,1.5,2,1.9,3.9,5.8,1,0.3,0.9,1.1,2.3,9.4
SF,25,4,0,12,1.3,2.5,0.8,1.5,0.5,1,1,1,0,1.3,1.3,1.3,0,0.3,0.8,1.8,4.3
PF,19,56,53,26,4.5,9.9,0.6,2.4,3.9,7.5,1.4,2.1,1.7,3.6,5.3,2.5,0.8,0.4,1.7,2.5,11
SG,20,16,2,5.6,1.1,2.2,0.1,0.3,0.9,1.9,0.4,0.5,0.4,0.5,0.9,0.5,0.4,0.2,0.2,0.9,2.6
SF,25,62,25,18.1,2.1,4.6,0.5,1.5,1.6,3.1,0.6,0.9,0.8,2.6,3.3,0.5,0.4,0.3,0.4,1.3,5.3
C,21,50,47,28.3,3.9,8.8,1.3,4.1,2.6,4.7,2.2,3,2.3,5.8,8.1,1.4,0.4,0.7,1.4,2.7,11.3
SF,26,80,33,28.4,4.1,9.9,2.5,7,1.6,2.8,1,1.1,0.6,2.6,3.2,2.1,0.5,0.2,0.9,2.1,11.5
SG,21,53,19,23.5,3.5,8.4,1.2,3.8,2.3,4.6,1.6,2.2,1,2,3,2.9,1.3,0.5,1.8,2.3,9.9
SG,27,53,12,13.9,2.3,5.1,0.6,1.6,1.8,3.4,1.9,2,0.2,1.2,1.5,1.3,0.6,0.2,0.9,1.6,7.1
SF,23,7,0,5.9,0.4,1.3,0.4,1.1,0,0.1,0,0,0.1,0.9,1,0.6,0,0,0,0.4,1.3
SF,27,31,7,21.8,3.5,7.4,0.4,1.5,3.1,5.9,1.6,2.2,1.3,2.5,3.8,2.7,0.7,0.2,1.5,3.4,9.1
SF,24,74,74,36.9,9.8,21.1,3.2,9.3,6.6,11.8,7.2,8.4,1.1,7.7,8.8,4.6,1.1,0.7,2.9,2.2,30.1
PF,23,31,2,8.5,1.3,2.4,0.2,0.6,1.1,1.8,0.2,0.4,0.9,0.6,1.5,0.3,0.1,0.2,0.3,0.8,2.9
SG,36,25,0,6.5,0.7,1.8,0.4,1,0.3,0.8,0.1,0.2,0.2,0.5,0.7,0.5,0.4,0.1,0.2,0.6,2
SG,20,38,0,5.6,0.8,1.9,0.2,0.7,0.7,1.2,0.4,0.6,0.3,0.7,1,0.6,0.3,0.1,0.2,0.6,2.2
C,30,7,1,15.6,3,6.3,0.3,1.6,2.7,4.7,0.7,1.7,1,2.1,3.1,1.3,0.3,0.9,0.4,1,7
SG,21,57,4,16.6,3.5,8,0.9,2.3,2.6,5.7,2.6,3.1,0.1,1.5,1.7,1.4,0.4,0.1,1.1,1,10.6
SF,32,69,69,33,7.9,18.1,4.4,10.6,3.6,7.6,1.7,1.9,0.6,3.6,4.1,2.4,0.7,0.4,1.8,1.9,21.9
PF,20,69,8,14,1.4,3.4,0.6,1.8,0.8,1.7,0.5,0.7,0.5,1.7,2.2,0.5,0.3,0.3,0.6,1,3.8
C,24,61,29,19.3,3.1,5,0.1,0.2,3,4.8,0.8,1.5,2,3,5,1.6,1,0.5,0.7,1.6,7
PF,21,6,1,10.2,0.5,3.2,0.2,1.7,0.3,1.5,0.3,0.3,0.3,1.7,2,0.7,0.2,0,0.3,0.7,1.5
PF,24,67,5,15.7,2.8,6.3,1.3,3.7,1.5,2.6,0.6,0.7,0.4,2.4,2.8,1,0.3,0.2,0.6,1,7.4
SF,29,52,9,13.5,1.2,2.8,0.2,0.8,1.1,1.9,0.4,0.5,0.5,1.8,2.4,1.3,0.3,0.2,0.7,1.5,3
PF,27,29,29,33,7.3,14.8,2.1,5.7,5.2,9.1,4.1,4.7,1.7,6.5,8.1,4.8,0.7,0.6,3,3.8,20.8
SG,24,66,44,32.1,6.1,14.2,2.5,6.8,3.6,7.3,2.6,3.1,0.5,2.2,2.6,1.6,1.6,0.2,0.8,1.5,17.4
PF,37,75,75,25.6,1.3,3,0.7,1.9,0.5,1.1,0.3,0.3,1.3,2.7,3.9,0.8,0.5,0.2,0.6,2.4,3.5
C,26,62,62,29.4,6.5,11.8,1.5,4,5,7.8,3.5,4.5,1.4,6.1,7.5,1.4,0.6,2.3,1.7,3.5,18
SG,23,1,0,2,0,1,0,1,0,0,2,2,0,0,0,0,1,1,0,0,2
C,30,79,79,24.9,5.6,10.3,0.5,1.4,5.2,8.9,2.3,2.8,2.8,7.3,10.2,1.8,0.3,0.7,2,3.1,14.1
PF,23,78,65,24.1,3.2,5.8,0.4,1.2,2.8,4.6,1.2,1.8,2.2,5.3,7.5,2.4,1.1,0.3,1.2,2.4,7.9
PG,28,69,69,36.7,6.3,16.1,3,8.8,3.3,7.3,3.7,4.1,0.4,3.6,4.1,7.2,1.8,0.6,2,2.8,19.3
SG,22,38,32,31,6.9,15.7,2.7,7,4.2,8.7,2.1,2.6,0.2,3.7,3.9,3.6,1.1,0.4,1.5,1.5,18.5
PG,26,68,34,25.9,3.4,8.3,1.7,5.1,1.6,3.2,1,1.1,0.4,1.7,2.1,2.5,0.9,0.1,1.4,2.3,9.4
C,27,23,1,7.4,0.5,1,0,0.2,0.4,0.9,0.1,0.1,0.8,1.3,2.1,0.3,0.1,0.3,0.5,1.5,1.1
C,32,82,82,33.5,7.3,14,1.5,4.2,5.8,9.8,1.6,1.9,1.9,9.1,11,3.2,0.7,0.7,1.7,2.2,17.6
PF,26,44,13,20.3,1.7,4,1,2.9,0.6,1.1,0.3,0.5,0.5,3,3.4,0.8,0.6,0.5,0.4,2,4.7
SF,21,80,80,32.6,6.8,14,1.6,4.5,5.2,9.5,3.4,4,0.9,3.2,4.1,3.5,1,0.2,2.1,2.3,18.6
C,25,57,18,19.5,3.5,6.9,0.9,2.9,2.6,4.1,2.7,3.2,1.2,3.3,4.5,1.5,0.6,0.2,1.2,2.4,10.5
SF,28,60,2,15.3,1.4,3.8,1,2.9,0.5,0.9,0.4,0.5,0.8,1.6,2.3,0.9,0.6,0.4,0.4,2,4.2
SF,20,56,0,11.1,1.5,3.5,0.3,1,1.2,2.5,0.6,0.8,0.9,1.5,2.3,0.6,0.2,0.2,0.5,1.2,3.9
PG,32,9,1,16,2.7,6.3,0.8,3.1,1.9,3.2,1.9,2.3,0.3,1.4,1.8,2.1,0.2,0.2,0.4,1.2,8
SG,24,56,32,23.2,4.2,9.4,1.6,4.4,2.6,5,1.6,1.9,0.3,1.7,1.9,1.1,0.5,0.3,0.8,1.3,11.7
PG,32,34,3,22.2,4.1,9.9,1,3.2,3.1,6.7,2.3,3.3,0.4,2.3,2.7,5.2,0.8,0.4,2.4,1.7,11.4
SG,22,31,3,12.7,3,8.3,1.3,3.6,1.7,4.7,0.5,0.8,0.1,1.1,1.2,2,0.2,0.1,1.1,0.7,7.9
PF,24,73,73,32.6,5.9,13.4,2,5.9,3.9,7.5,1.7,2.4,1,3.9,4.9,2.4,0.9,1.1,1.5,2.6,15.7
PG,21,31,2,14,1.9,5.2,0.6,2.6,1.3,2.6,0.3,0.6,0.1,1.4,1.5,1.5,0.5,0.1,0.5,0.9,4.7
SF,28,58,1,16,2,4,1,2.3,0.9,1.7,0.6,0.8,0.5,1.9,2.4,0.8,0.4,0.3,0.4,1.4,5.6
SG,25,41,0,13,1.7,4.3,1.4,4,0.3,0.4,0.4,0.5,0.4,1.4,1.8,0.7,0.3,0.3,0.2,1,5.2
PF,22,62,12,19.1,2.9,5.2,0.4,1,2.5,4.2,1.2,1.6,0.7,3.2,3.8,2.1,0.5,0.2,1.1,1.9,7.4
SG,20,23,2,8.1,1.3,2.6,0.3,0.6,1,2,0.5,0.9,0.3,1.3,1.6,0.5,0.1,0.5,0.3,0.6,3.3
SG,19,37,1,18.1,1.9,5.8,0.5,1.4,1.3,4.4,0.7,1.2,0.3,1.9,2.2,2.7,0.7,0.1,1.8,1.8,5
PG,34,73,24,29.1,5.9,13.6,1.2,3.9,4.7,9.7,2.8,4.3,1.2,4.6,5.8,7.5,1,0.5,3.5,2.2,15.9
SG,22,74,2,23.4,3.6,8,1.7,4.6,1.8,3.4,0.8,0.9,0.2,2.6,2.9,2.8,0.7,0.1,1,1.6,9.7
SG,28,82,70,28.3,4.3,9.2,1.8,4.8,2.5,4.5,2,2.3,0.6,2.9,3.6,3.9,0.7,0.9,1.2,2.2,12.4
SF,25,17,0,3.9,0.5,1.1,0.2,0.5,0.3,0.6,0.1,0.2,0.4,0.6,1,0.2,0.2,0.1,0.1,0.5,1.2
SF,23,9,0,5.6,0.3,1.6,0.3,1.3,0,0.2,0,0,0,0.4,0.4,0.3,0,0,0.1,0.3,1
SG,24,70,14,18.5,2.7,5.2,0.7,1.7,2,3.4,0.8,1,1,2,3,1.1,0.6,0.2,0.8,1.6,6.8
SF,27,37,37,32.2,6.8,14.3,2.4,6.1,4.4,8.2,1.2,1.9,1.6,3.4,5,2.3,1.2,0.8,1.3,2.9,17.1
PG,24,7,1,12.4,2.6,5.3,0.9,2.6,1.7,2.7,1.1,1.3,0,1,1,2,0,0.3,1.7,1,7.1
SG,23,1,0,5,0,0,0,0,0,0,0,0,0,1,1,0,0,0,2,1,0
SG,21,2,0,2,1,2.5,0,1,1,1.5,0,0,0,1,1,0,0,0,0,0,2
PF,24,79,23,25.9,2.7,6,1.5,3.7,1.3,2.3,1.2,1.5,1.1,3.5,4.6,1.7,0.5,0.4,1,2.4,8.1
SG,21,75,62,30.3,5.5,10.6,1,2.7,4.5,7.9,2.1,2.5,1.1,3.4,4.5,3.3,1.4,0.5,1.6,2.5,14.1
C,20,49,36,18.7,2.1,4.8,0.9,2.3,1.1,2.5,0.8,1.1,0.9,4,4.9,1.6,0.6,0.2,0.8,2.3,5.9
SG,23,5,4,25.4,4.8,7.8,0.6,1.6,4.2,6.2,0.4,0.6,2,1,3,2,0.6,0.4,0.8,2.6,10.6
PF,28,53,10,22.8,3.4,6.5,0.9,2.5,2.4,4,0.3,0.7,1.8,3.1,4.9,2,0.8,0.3,0.6,2.1,8
C,21,43,17,19.3,3.7,5.8,0,0,3.7,5.8,1.6,2.3,2.2,4.9,7.1,0.4,0.7,1,0.9,2.2,9
PF,21,82,65,28.3,3.8,8.3,1.4,3.4,2.4,4.9,1.1,1.3,1,3,4,1.2,0.9,0.9,1.2,1.8,10.2
C,25,35,20,23.5,3.6,4.9,0,0,3.6,4.8,0.7,1.2,3,5.4,8.3,1.4,0.6,1.4,1,1.9,8
SG,22,15,1,7,0.8,2.7,0.3,1.9,0.5,0.8,0.1,0.1,0.3,0.7,1,0.3,0.4,0.1,0.3,0.8,2
SF,21,37,4,15.2,2.3,5.3,0.7,2.6,1.6,2.7,0.5,0.6,0.4,1.7,2.1,0.9,0.4,0.2,1,1.6,5.7
PF,22,29,29,33,9.8,16.2,0.2,0.7,9.6,15.5,6.1,8.6,2,5,7,4.6,1.1,0.6,3.4,2.2,26
SF,26,3,0,3.3,0.7,1,0.3,0.7,0.3,0.3,0,0,0,0,0,0.3,0.3,0,0.3,0,1.7
PF,26,29,11,26.8,2.8,6.8,0.5,1.6,2.3,5.3,0.7,1,1.7,3.3,5,3.4,1,0.4,1.5,3.1,6.8
C,21,45,22,19.3,4.2,7.5,0.1,0.4,4.1,7.1,1.5,2.2,1.6,4.3,5.9,0.7,0.2,0.6,1.1,2.4,10
C,27,67,17,25.9,5.9,11.5,1.6,4.2,4.3,7.3,3.2,4.2,1.3,6,7.3,1.8,0.4,1.1,1.8,2.5,16.6
PG,30,50,14,24.4,2.8,5.8,0.8,2.4,1.9,3.4,1,1.2,1.2,2.4,3.6,3.9,1.8,0.3,0.9,1.2,7.4
PG,24,27,1,12.4,1.7,3.6,0.3,1,1.4,2.6,0.5,0.7,0.3,1.4,1.7,2.1,0.3,0.2,0.7,0.9,4.2
SG,29,3,0,18.7,2.7,7,2,6,0.7,1,0.7,0.7,0,2,2,1.7,0.7,0,0,1.7,8
PF,34,54,9,14.7,2,3.7,0.1,0.6,1.9,3,0.3,0.5,1.3,1.8,3.1,1.4,1,0.1,0.8,1.6,4.4
PG,24,73,73,34.8,8.2,19,2.1,6.3,6.1,12.7,7.8,8.8,0.8,2.2,3,10.2,1.1,0.1,4.1,1.4,26.2
C,24,9,0,9.2,1.8,3,0.3,0.8,1.4,2.2,0.6,0.7,0.9,1.7,2.6,0.2,0.2,0.2,0.4,1.8,4.4
C,30,15,2,14.5,2.5,3.9,0,0.1,2.5,3.8,1.6,2.3,1.7,2.6,4.3,0.7,0.2,0.3,0.9,2.2,6.5
C,25,76,76,28.6,4.3,6.8,0,0,4.3,6.7,2.2,3.1,3.1,6.8,9.9,1,0.4,1.3,1.5,2.9,10.8
C,26,20,20,33.9,8.2,16,0.1,0.2,8.1,15.8,5.7,7.1,2.1,7.9,9.9,4.1,1.2,1,2.7,2.5,22
SG,23,30,10,21.6,2.7,5.9,1.3,3.4,1.5,2.5,0.3,0.4,0.9,1.7,2.6,1,0.7,0.5,0.7,1.6,7.1
PF,23,22,5,25.1,4.5,10.1,1.7,5,2.7,5.1,1,1.7,1.5,4.2,5.7,2,0.7,0.7,1.1,1.6,11.7
SG,25,28,11,23.1,2.5,6.1,1.4,4,1.1,2.1,0.4,0.6,0.4,1.5,1.9,2.4,0.9,0.6,1,1.9,6.8
SG,28,24,24,33.3,4.4,9,2.5,5.4,2,3.6,1.7,1.9,0.9,3.6,4.5,2.7,1,0.5,1.4,2.4,13
